Sample,phase,treatment,replicate,acac,mes,cr,bhb,nonrestricted
log_LM_3,log,LM,3,TRUE,TRUE,FALSE,FALSE,FALSE
log_C_1,log,C,1,FALSE,FALSE,TRUE,FALSE,FALSE
log_C_2,log,C,2,FALSE,FALSE,TRUE,FALSE,FALSE
stat_N_1,stat,N,1,FALSE,FALSE,FALSE,FALSE,TRUE
stat_N_2,stat,N,2,FALSE,FALSE,FALSE,FALSE,TRUE
stat_N_3,stat,N,3,FALSE,FALSE,FALSE,FALSE,TRUE
stat_B_1,stat,B,1,FALSE,FALSE,FALSE,TRUE,FALSE
stat_B_2,stat,B,2,FALSE,FALSE,FALSE,TRUE,FALSE
stat_B_3,stat,B,3,FALSE,FALSE,FALSE,TRUE,FALSE
stat_L_1,stat,L,1,TRUE,FALSE,FALSE,FALSE,FALSE
stat_L_2,stat,L,2,TRUE,FALSE,FALSE,FALSE,FALSE
stat_M_1,stat,M,1,FALSE,TRUE,FALSE,FALSE,FALSE
stat_M_3,stat,M,3,FALSE,TRUE,FALSE,FALSE,FALSE
stat_BM_1,stat,BM,1,FALSE,TRUE,FALSE,TRUE,FALSE
stat_BM_2,stat,BM,2,FALSE,TRUE,FALSE,TRUE,FALSE
stat_BM_3,stat,BM,3,FALSE,TRUE,FALSE,TRUE,FALSE
stat_LM_1,stat,LM,1,TRUE,TRUE,FALSE,FALSE,FALSE
stat_LM_2,stat,LM,2,TRUE,TRUE,FALSE,FALSE,FALSE
stat_LM_3,stat,LM,3,TRUE,TRUE,FALSE,FALSE,FALSE
stat_C_1,stat,C,1,FALSE,FALSE,TRUE,FALSE,FALSE
stat_C_2,stat,C,2,FALSE,FALSE,TRUE,FALSE,FALSE
stat_C_3,stat,C,3,FALSE,FALSE,TRUE,FALSE,FALSE
log_C_3,log,C,3,FALSE,FALSE,TRUE,FALSE,FALSE
stat_L_3,stat,L,3,TRUE,FALSE,FALSE,FALSE,FALSE
stat_M_2,stat,M,2,FALSE,TRUE,FALSE,FALSE,FALSE
log_N_1,log,N,1,FALSE,FALSE,FALSE,FALSE,TRUE
log_N_2,log,N,2,FALSE,FALSE,FALSE,FALSE,TRUE
log_N_3,log,N,3,FALSE,FALSE,FALSE,FALSE,TRUE
log_B_1,log,B,1,FALSE,FALSE,FALSE,TRUE,FALSE
log_B_2,log,B,2,FALSE,FALSE,FALSE,TRUE,FALSE
log_B_3,log,B,3,FALSE,FALSE,FALSE,TRUE,FALSE
log_L_1,log,L,1,TRUE,FALSE,FALSE,FALSE,FALSE
log_L_2,log,L,2,TRUE,FALSE,FALSE,FALSE,FALSE
log_L_3,log,L,3,TRUE,FALSE,FALSE,FALSE,FALSE
log_M_1,log,M,1,FALSE,TRUE,FALSE,FALSE,FALSE
log_M_2,log,M,2,FALSE,TRUE,FALSE,FALSE,FALSE
log_M_3,log,M,3,FALSE,TRUE,FALSE,FALSE,FALSE
log_BM_1,log,BM,1,FALSE,TRUE,FALSE,TRUE,FALSE
log_BM_2,log,BM,2,FALSE,TRUE,FALSE,TRUE,FALSE
log_BM_3,log,BM,3,FALSE,TRUE,FALSE,TRUE,FALSE
log_LM_1,log,LM,1,TRUE,TRUE,FALSE,FALSE,FALSE
log_LM_2,log,LM,2,TRUE,TRUE,FALSE,FALSE,FALSE
